Area,Item,Element,Year,Unit,Value,Population size
Nigeria,"Bastfibres, other",Area harvested,1981,ha,1000.0,75440505.0
Nigeria,"Bastfibres, other",Yield,1981,hg/ha,5300.0,75440505.0
Nigeria,"Bastfibres, other",Production,1981,tonnes,530.0,75440505.0
Nigeria,Carrots and turnips,Area harvested,1981,ha,20000.0,75440505.0
Nigeria,Carrots and turnips,Yield,1981,hg/ha,75000.0,75440505.0
Nigeria,Carrots and turnips,Production,1981,tonnes,150000.0,75440505.0
Nigeria,"Cashew nuts, with shell",Area harvested,1981,ha,40000.0,75440505.0
Nigeria,"Cashew nuts, with shell",Yield,1981,hg/ha,6250.0,75440505.0
Nigeria,"Cashew nuts, with shell",Production,1981,tonnes,25000.0,75440505.0
Nigeria,Cassava,Area harvested,1981,ha,1200000.0,75440505.0
Nigeria,Cassava,Yield,1981,hg/ha,91667.0,75440505.0
Nigeria,Cassava,Production,1981,tonnes,11000000.0,75440505.0
Nigeria,"Chillies and peppers, dry",Area harvested,1981,ha,26000.0,75440505.0
Nigeria,"Chillies and peppers, dry",Yield,1981,hg/ha,15385.0,75440505.0
Nigeria,"Chillies and peppers, dry",Production,1981,tonnes,40000.0,75440505.0
Nigeria,"Chillies and peppers, green",Area harvested,1981,ha,70000.0,75440505.0
Nigeria,"Chillies and peppers, green",Yield,1981,hg/ha,90714.0,75440505.0
Nigeria,"Chillies and peppers, green",Production,1981,tonnes,635000.0,75440505.0
Nigeria,Coconuts,Area harvested,1981,ha,35000.0,75440505.0
Nigeria,Coconuts,Yield,1981,hg/ha,28571.0,75440505.0
Nigeria,Coconuts,Production,1981,tonnes,100000.0,75440505.0
Nigeria,"Coffee, green",Area harvested,1981,ha,6000.0,75440505.0
Nigeria,"Coffee, green",Yield,1981,hg/ha,5000.0,75440505.0
Nigeria,"Coffee, green",Production,1981,tonnes,3000.0,75440505.0
Nigeria,"Cow peas, dry",Area harvested,1981,ha,1173000.0,75440505.0
Nigeria,"Cow peas, dry",Yield,1981,hg/ha,4774.0,75440505.0
Nigeria,"Cow peas, dry",Production,1981,tonnes,560000.0,75440505.0
Nigeria,"Fruit, citrus nes",Area harvested,1981,ha,550000.0,75440505.0
Nigeria,"Fruit, citrus nes",Yield,1981,hg/ha,32727.0,75440505.0
Nigeria,"Fruit, citrus nes",Production,1981,tonnes,1800000.0,75440505.0
Nigeria,"Fruit, fresh nes",Area harvested,1981,ha,148000.0,75440505.0
Nigeria,"Fruit, fresh nes",Yield,1981,hg/ha,64189.0,75440505.0
Nigeria,"Fruit, fresh nes",Production,1981,tonnes,950000.0,75440505.0
Nigeria,Garlic,Production,1981,tonnes,,75440505.0
Nigeria,Ginger,Area harvested,1981,ha,1000.0,75440505.0
Nigeria,Ginger,Yield,1981,hg/ha,5000.0,75440505.0
Nigeria,Ginger,Production,1981,tonnes,500.0,75440505.0
Nigeria,"Groundnuts, with shell",Area harvested,1981,ha,650000.0,75440505.0
Nigeria,"Groundnuts, with shell",Yield,1981,hg/ha,8154.0,75440505.0
Nigeria,"Groundnuts, with shell",Production,1981,tonnes,530000.0,75440505.0
Nigeria,Maize,Area harvested,1981,ha,438000.0,75440505.0
Nigeria,Maize,Yield,1981,hg/ha,16438.0,75440505.0
Nigeria,Maize,Production,1981,tonnes,720000.0,75440505.0
Nigeria,"Maize, green",Area harvested,1981,ha,44000.0,75440505.0
Nigeria,"Maize, green",Yield,1981,hg/ha,36364.0,75440505.0
Nigeria,"Maize, green",Production,1981,tonnes,160000.0,75440505.0
Nigeria,"Mangoes, mangosteens, guavas",Area harvested,1981,ha,80000.0,75440505.0
Nigeria,"Mangoes, mangosteens, guavas",Yield,1981,hg/ha,50000.0,75440505.0
Nigeria,"Mangoes, mangosteens, guavas",Production,1981,tonnes,400000.0,75440505.0
Nigeria,Melonseed,Area harvested,1981,ha,92000.0,75440505.0
Nigeria,Melonseed,Yield,1981,hg/ha,8478.0,75440505.0
Nigeria,Melonseed,Production,1981,tonnes,78000.0,75440505.0
Nigeria,Millet,Area harvested,1981,ha,1708000.0,75440505.0
Nigeria,Millet,Yield,1981,hg/ha,15703.0,75440505.0
Nigeria,Millet,Production,1981,tonnes,2682000.0,75440505.0
Nigeria,Nuts nes,Area harvested,1981,ha,,75440505.0
Nigeria,Nuts nes,Production,1981,tonnes,,75440505.0
Nigeria,Oil palm fruit,Area harvested,1981,ha,2000000.0,75440505.0
Nigeria,Oil palm fruit,Yield,1981,hg/ha,25000.0,75440505.0
Nigeria,Oil palm fruit,Production,1981,tonnes,5000000.0,75440505.0
Nigeria,"Onions, dry",Area harvested,1981,ha,30000.0,75440505.0
Nigeria,"Onions, dry",Yield,1981,hg/ha,133333.0,75440505.0
Nigeria,"Onions, dry",Production,1981,tonnes,400000.0,75440505.0
Nigeria,"Onions, shallots, green",Area harvested,1981,ha,10000.0,75440505.0
Nigeria,"Onions, shallots, green",Yield,1981,hg/ha,100000.0,75440505.0
Nigeria,"Onions, shallots, green",Production,1981,tonnes,100000.0,75440505.0
Nigeria,Papayas,Area harvested,1981,ha,55000.0,75440505.0
Nigeria,Papayas,Yield,1981,hg/ha,72727.0,75440505.0
Nigeria,Papayas,Production,1981,tonnes,400000.0,75440505.0
Nigeria,Pineapples,Area harvested,1981,ha,95000.0,75440505.0
Nigeria,Pineapples,Yield,1981,hg/ha,63158.0,75440505.0
Nigeria,Pineapples,Production,1981,tonnes,600000.0,75440505.0
Nigeria,Potatoes,Area harvested,1981,ha,5600.0,75440505.0
Nigeria,Potatoes,Yield,1981,hg/ha,67857.0,75440505.0
Nigeria,Potatoes,Production,1981,tonnes,38000.0,75440505.0
Nigeria,Pulses nes,Area harvested,1981,ha,115000.0,75440505.0
Nigeria,Pulses nes,Yield,1981,hg/ha,4609.0,75440505.0
Nigeria,Pulses nes,Production,1981,tonnes,53000.0,75440505.0
Nigeria,"Rice, paddy",Area harvested,1981,ha,600000.0,75440505.0
Nigeria,"Rice, paddy",Yield,1981,hg/ha,20683.0,75440505.0
Nigeria,"Rice, paddy",Production,1981,tonnes,1241000.0,75440505.0
Nigeria,"Rubber, natural",Area harvested,1981,ha,73000.0,75440505.0
Nigeria,"Rubber, natural",Yield,1981,hg/ha,8219.0,75440505.0
Nigeria,"Rubber, natural",Production,1981,tonnes,60000.0,75440505.0
Nigeria,Seed cotton,Area harvested,1981,ha,445000.0,75440505.0
Nigeria,Seed cotton,Yield,1981,hg/ha,1818.0,75440505.0
Nigeria,Seed cotton,Production,1981,tonnes,80903.0,75440505.0
Nigeria,Sesame seed,Area harvested,1981,ha,140000.0,75440505.0
Nigeria,Sesame seed,Yield,1981,hg/ha,3000.0,75440505.0
Nigeria,Sesame seed,Production,1981,tonnes,42000.0,75440505.0
Nigeria,Sorghum,Area harvested,1981,ha,2076500.0,75440505.0
Nigeria,Sorghum,Yield,1981,hg/ha,16200.0,75440505.0
Nigeria,Sorghum,Production,1981,tonnes,3364000.0,75440505.0
Nigeria,Soybeans,Area harvested,1981,ha,300000.0,75440505.0
Nigeria,Soybeans,Yield,1981,hg/ha,2600.0,75440505.0
Nigeria,Soybeans,Production,1981,tonnes,78000.0,75440505.0
Nigeria,Spices nes,Area harvested,1981,ha,2900.0,75440505.0
Nigeria,Spices nes,Yield,1981,hg/ha,13793.0,75440505.0
Nigeria,Spices nes,Production,1981,tonnes,4000.0,75440505.0
Nigeria,Sugar cane,Area harvested,1981,ha,23000.0,75440505.0
Nigeria,Sugar cane,Yield,1981,hg/ha,402609.0,75440505.0
Nigeria,Sugar cane,Production,1981,tonnes,926000.0,75440505.0
Nigeria,Sweet potatoes,Area harvested,1981,ha,13000.0,75440505.0
Nigeria,Sweet potatoes,Yield,1981,hg/ha,76923.0,75440505.0
Nigeria,Sweet potatoes,Production,1981,tonnes,100000.0,75440505.0
Nigeria,Taro (cocoyam),Area harvested,1981,ha,85000.0,75440505.0
Nigeria,Taro (cocoyam),Yield,1981,hg/ha,31765.0,75440505.0
Nigeria,Taro (cocoyam),Production,1981,tonnes,270000.0,75440505.0
Nigeria,"Tobacco, unmanufactured",Area harvested,1981,ha,16266.0,75440505.0
Nigeria,"Tobacco, unmanufactured",Yield,1981,hg/ha,6445.0,75440505.0
Nigeria,"Tobacco, unmanufactured",Production,1981,tonnes,10483.0,75440505.0
Nigeria,Tomatoes,Area harvested,1981,ha,33000.0,75440505.0
Nigeria,Tomatoes,Yield,1981,hg/ha,100000.0,75440505.0
Nigeria,Tomatoes,Production,1981,tonnes,330000.0,75440505.0
Nigeria,"Vegetables, fresh nes",Area harvested,1981,ha,210000.0,75440505.0
Nigeria,"Vegetables, fresh nes",Yield,1981,hg/ha,46952.0,75440505.0
Nigeria,"Vegetables, fresh nes",Production,1981,tonnes,986000.0,75440505.0
Nigeria,Wheat,Area harvested,1981,ha,10000.0,75440505.0
Nigeria,Wheat,Yield,1981,hg/ha,26000.0,75440505.0
Nigeria,Wheat,Production,1981,tonnes,26000.0,75440505.0
Nigeria,Asses,Stocks,1981,Head,700000.0,75440505.0
Nigeria,Camels,Stocks,1981,Head,17400.0,75440505.0
Nigeria,Cattle,Stocks,1981,Head,12214000.0,75440505.0
Nigeria,Chickens,Stocks,1981,1000 Head,83370.0,75440505.0
Nigeria,Goats,Stocks,1981,Head,12328000.0,75440505.0
Nigeria,Horses,Stocks,1981,Head,226000.0,75440505.0
Nigeria,Pigs,Stocks,1981,Head,1000000.0,75440505.0
Nigeria,Sheep,Stocks,1981,Head,8475000.0,75440505.0
Nigeria,"Bastfibres, other",Area harvested,1982,ha,1000.0,77427539.0
Nigeria,"Bastfibres, other",Yield,1982,hg/ha,5000.0,77427539.0
Nigeria,"Bastfibres, other",Production,1982,tonnes,500.0,77427539.0
